source,interaction,target,orig_src,orig_trg
this,revealed,design principle,this,a basic design principle
beam,is,image,"the latter "" beam",a ccd image
,had,,that had dՐtre,a functional raison dՐtre
it,was,layer,it,a layer
mapping,had,characteristic,the mapping,a many characteristic
,provided,,the modules,a mapping
,provided,,the modules,a mapping
,deal,,processors,a number
,embedded,,processors,a number
,deal,,the hardware,a number
,dealt,,a number,a number
,deal,,processors,a number
,deal,,the hardware,a number
,made,,we,a number
,accompany,,the keystoke,a particular function
,accompany,,the left,a particular function
,accompany,,figure 4,a particular function
,accompany,,the keystoke on,a particular function
,accompany,,figure 4,a particular function
,had,,the electron beam,a single coincidence point
,had,,the electron beam,a single coincidence point
,is,,this,a term activity
,is,,the slice,a thin cross
,is,,the main platform,a vacuum chamber
,provided,,the tool bar,access
,provided,,the inspection dialogue,actual information
,instantiate,,the creation phase,all ( static ) objects
,describe,,we,all relationships
,provided,,that provided control,alternative control
,is,,it,an electron beam image
,show,,figure 3,an example
,is,,analysis,an important requirement
,had,,that had function,an operational function
,need,,the samples,any preparation
,hold,,it,any state (
,are,,examples,cadnav
,need,,we,calibration
,prevented,,order,cluttering of the ui
,need,,the samples,coating
,needed,,samples,coating
,instantiate,,a manner,com components
,specify,,"a set of ,",connectivity
,involved,,they,control
,held,,the instrument server,control layers
,obtain,,a multitude of detector sources,data
,base,,technology choices,decomposition criteria
,base,,the mapping of single level commands,decomposition criteria
,base,,multiple settings in the hardware,decomposition criteria
,base,,technology choices,decomposition criteria
,base,,multiple settings in the hardware,decomposition criteria
,base,,the mapping of single level commands,decomposition criteria
,saved,,this,development time
,are,,typical applications,dispersive spectroscopy
,focus,,the sample,electrons
,show,,the bricks themselves,further granularity
,capture,,"engines , "" specifics",generics
,contained,,the bricks,graphs
,realize,,"a layering host ,",image display
,contained,,these signals,information
,take,,other tasks,instrument time
,had,,the primary beam,interaction
,maximize,,fledged interfaces,internal software efficiency
,had,,all bricks,internal threads
,characterize,,"many automation facilities , mechanisms",it
,compare,,a high degree with the functionality of a general light microscope,it
